path,type,size_bytes,compressed_size_bytes,sha256,hash_error,nested_error_code,nested_error
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz,file,1111235273,1104936602,,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/Image,file,15194728,,a965101f3c405fffcd6119d0d620f51e631d6b273cd2238e4780b67b4947aa33,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/artik710s_sdfuse-UNRELEASED-20230807.102453.img,file,456130560,,f51127a00489c9d1f916c24d35cd73d274cb7c864945a81b0d454bebfcd03b0e,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/artik710s_sdfuse-UNRELEASED-20230807.102453.img/partition_2,file,33554432,,,"filesystem parse failed: could not interpret superblock data: cannot read superblock: invalid checksum type 0, only valid is 1",,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/artik710s_sdfuse-UNRELEASED-20230807.102453.img/partition_4,file,,,,filesystem parse failed: unknown filesystem on partition 4,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/artik_release,file,270,,4ad0221291e46b4bb6dd69294a2480f26c1c8b3b2aaf5a68dc19e923a165b7e4,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/bl1-emmcboot.img,file,24240,,cd8223b9bb16708dedeffda418529ffd4c4d5d56f97f3e4a3b056fad55ee0b4d,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/bl1-sdboot.img,file,24240,,b2769375a4c8d8d81374c2df8a7e3b4356a552b4832e5613317aafca3370239e,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/bl1-usbboot.img,file,24240,,89cbd0390992190429c08c10a9d4feec03bca6bb46404c17899242b978b34db5,,,
4.0.0.98-artik710s-dev.zip/eyecontrol-artik710s-med2-MED-3161-create-home-care-new-image-prod-2.7.1.1-dev-image-4.0.0.98-2026-02-13.11:45:11.tar.gz/boot.img,file,33554432,,f8a8680b093bf749dfeda7f6a4af692ab77e8ed903c41a5c208785f0b96521b5,,,
